"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
4,3,4,"both",0.45,"power",0.78,0.24,0.53,0.27,0.88,0.72,0.39,0.11,0.41,0.79,0.47
4,3,4,"both",0.5,"power",0.9,0.33,0.59,0.27,0.96,0.82,0.49,0.21,0.49,0.9,0.66
4,3,4,"both",0.55,"power",0.96,0.27,0.66,0.32,1,0.93,0.66,0.16,0.63,0.99,0.8
4,3,4,"both",0.6,"power",0.99,0.42,0.78,0.44,1,0.99,0.8,0.23,0.75,1,0.88
4,3,4,"prevalence",0.05,"power",0.07,0.03,0.04,0.05,0.01,0.04,0.03,0.01,0.03,0.07,0.02
4,3,4,"prevalence",0.1,"power",0.03,0.08,0.04,0.07,0.06,0.01,0.04,0.03,0.03,0.04,0.06
4,3,4,"prevalence",0.15,"power",0.05,0.01,0.07,0.02,0,0.06,0.01,0.03,0.01,0.12,0
4,3,4,"prevalence",0.2,"power",0.11,0.05,0.18,0.07,0.07,0.08,0.05,0.06,0.05,0.07,0.05
4,3,4,"prevalence",0.25,"power",0.24,0.04,0.19,0.06,0.07,0.11,0.04,0.01,0.03,0.25,0.06
4,3,4,"prevalence",0.3,"power",0.23,0.06,0.24,0.06,0.06,0.1,0.02,0,0.02,0.24,0.05
4,3,4,"prevalence",0.35,"power",0.39,0.03,0.23,0.03,0.07,0.18,0.06,0.03,0.06,0.4,0.04
4,3,4,"prevalence",0.4,"power",0.63,0.05,0.3,0.06,0.1,0.24,0.08,0.08,0.05,0.67,0.05
4,3,4,"prevalence",0.45,"power",0.72,0.08,0.48,0.05,0.24,0.31,0.08,0.05,0.08,0.72,0.13
4,3,4,"prevalence",0.5,"power",0.88,0.03,0.52,0.05,0.16,0.43,0.07,0.07,0.07,0.86,0.05
4,3,4,"prevalence",0.55,"power",0.97,0.02,0.66,0.02,0.21,0.61,0.04,0.01,0.04,0.98,0.03
4,3,4,"prevalence",0.6,"power",0.98,0.04,0.69,0.06,0.32,0.62,0.05,0.03,0.04,0.98,0.05
4,4,3,"abundance",0.05,"power",0.02,0.05,0.09,0.03,0.05,0.04,0.04,0.05,0.03,0.02,0.06
4,4,3,"abundance",0.1,"power",0.07,0.06,0.06,0.08,0.05,0.06,0.03,0.07,0.04,0.05,0.06
4,4,3,"abundance",0.15,"power",0.04,0.08,0.05,0.06,0.09,0.05,0.03,0.03,0.04,0.05,0.09
