"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","n_otu","avg_silhouette","mean_relative_abundance","mean_prevalence","within_cop_n_pair","within_cop_mean","within_cop_sd","within_cop_min","within_cop_q1","within_cop_median","within_cop_q3","within_cop_max","within_cop_iqr","lower_whisker","upper_whisker","n_outlier","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
2,2,2,"both",0.35,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.93,0.62,0.96,0.64,0.89,0.73,0.26,0.12,0.27,0.82,0.75
2,2,2,"both",0.4,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.99,0.79,1,0.77,0.98,0.9,0.56,0.14,0.56,0.97,0.9
2,2,2,"both",0.45,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.89,1,0.88,1,0.99,0.8,0.22,0.8,0.99,0.96
2,2,2,"both",0.5,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.93,1,0.94,1,0.99,0.87,0.33,0.85,1,0.98
2,2,2,"both",0.55,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.95,1,0.96,1,1,0.91,0.33,0.9,1,1
2,2,2,"both",0.6,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.99,1,0.99,1,1,0.99,0.42,0.99,1,1
2,2,2,"prevalence",0,"type1_error",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.06,0.08,0.06,0.1,0.08,0.09,0.08,0.09,0.04,0.09,0.1
2,2,2,"prevalence",0.05,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.1,0.07,0.08,0.06,0.05,0.07,0.05,0.07,0.05,0.05,0.07
2,2,2,"prevalence",0.1,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.09,0.01,0.19,0.03,0.05,0.05,0.06,0.08,0.03,0.09,0.04
2,2,2,"prevalence",0.15,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.19,0.05,0.39,0.02,0.05,0.17,0.04,0.05,0.04,0.21,0.05
2,2,2,"prevalence",0.2,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.38,0.16,0.5,0.11,0.09,0.15,0.07,0.08,0.07,0.31,0.09
2,2,2,"prevalence",0.25,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.64,0.1,0.84,0.09,0.16,0.16,0.09,0.09,0.09,0.54,0.11
2,2,2,"prevalence",0.3,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.69,0.06,0.93,0.08,0.15,0.24,0.03,0.07,0.03,0.56,0.09
2,2,2,"prevalence",0.35,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.9,0.08,0.98,0.06,0.17,0.43,0.07,0.05,0.09,0.83,0.08
2,2,2,"prevalence",0.4,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.02,1,0.03,0.37,0.55,0.11,0.04,0.11,0.91,0.09
2,2,2,"prevalence",0.45,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.09,1,0.12,0.5,0.67,0.12,0.05,0.13,0.99,0.15
2,2,2,"prevalence",0.5,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.04,1,0.05,0.48,0.82,0.11,0.02,0.1,0.99,0.09
2,2,2,"prevalence",0.55,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.12,1,0.09,0.73,0.94,0.18,0.08,0.18,1,0.19
2,2,2,"prevalence",0.6,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,1,0.12,1,0.13,0.81,0.98,0.12,0.06,0.13,1,0.17
