"rep_id","setting_id","k","signal_cluster","cluster_ordered","cluster_abund_sum_template","cluster_n_otus_template","beta","is_null","n_samples","y_mean","signal_mean_abs","signal_sd_abs","seed_sim","seed_test","runtime_sec","p_GLaD_0.5_weighted","p_GLaD_0.5_unweighted","p_GLaD_1_weighted","p_GLaD_1_unweighted","p_euclidean","p_bray","p_jaccard","p_aitchison","p_unifrac_unweighted","p_unifrac_weighted_phyloseq","p_GUniFrac"
84,26,12,2,5,77.0330827660337,39,0.8,0,100,0.48,83.5790666898542,211.827241169728,842371,2842371,8.38300000000004,0.004,0.513,0.007,0.105,0.004,0.007,0.014,0.305,0.335,0.001,0.004
84,27,12,3,7,43.6751187922883,34,0.8,0,100,0.53,43.8055367800448,42.5520730469205,842372,2842372,8.94299999999998,0.258,0.269,0.266,0.483,0.174,0.511,0.408,0.187,0.14,0.328,0.445
84,28,12,4,4,79.6953582744224,67,0.8,0,100,0.61,79.6432929942661,76.1435073625454,842373,2842373,8.56599999999997,0.352,0.023,0.506,0.365,0.439,0.047,0.054,0.02,0.025,0.184,0.065
84,29,12,5,2,133.044236791808,66,0.8,0,100,0.47,128.255757299699,254.116363275443,842374,2842374,9.02100000000002,0.147,0.939,0.142,0.958,0.315,0.342,0.368,0.8,0.793,0.369,0.73
84,30,12,6,11,5.27504110111664,23,0.8,0,100,0.54,4.17938706005506,7.18760213200574,842375,2842375,8.44400000000002,0.488,0.008,0.582,0.08,0.327,0.03,0.041,0.01,0.042,0.18,0.034
84,31,12,7,10,11.0732266185605,26,0.8,0,100,0.52,17.633106245413,67.3306711706867,842376,2842376,8.92299999999994,0.775,0.642,0.854,0.987,0.35,0.391,0.371,0.374,0.838,0.846,0.886
84,32,12,8,1,293.178789576476,145,0.8,0,100,0.46,276.13212608424,191.613744450324,842377,2842377,8.44600000000003,0.505,0.183,0.463,0.018,0.313,0.113,0.106,0.31,0.275,0.27,0.228
84,33,12,9,3,106.715084324911,54,0.8,0,100,0.45,100.039450123421,121.259139798809,842378,2842378,9.036,0.146,0.96,0.318,0.804,0.012,0.05,0.026,0.995,0.955,0.073,0.081
84,34,12,10,6,68.7845374439054,53,0.8,0,100,0.43,62.0420915398774,43.8047092866071,842379,2842379,8.96899999999999,0.432,0.502,0.295,0.625,0.519,0.444,0.432,0.416,0.712,0.423,0.425
84,35,12,11,12,5.09634064688554,21,0.8,0,100,0.49,2.93403924145651,4.20131515178591,842380,2842380,8.55999999999995,0.769,0.197,0.588,0.416,0.794,0.927,0.933,0.263,0.214,0.83,0.488
84,36,12,12,9,12.7421518209905,20,0.8,0,100,0.54,13.2703677119687,12.7964692218007,842381,2842381,8.97399999999999,0.032,0.774,0.013,0.467,0.537,0.087,0.085,0.374,0.889,0.019,0.074
84,37,12,1,8,38.4045053101521,68,1.2,0,100,0.51,39.4895025342583,36.429363283672,842382,2842382,8.48400000000004,0.011,0.875,0.009,0.05,0.197,0.112,0.114,0.984,0.923,0.013,0.118
84,38,12,2,5,77.0330827660337,39,1.2,0,100,0.42,65.1164995907435,149.034382565057,842383,2842383,8.40200000000004,0.005,0.117,0.009,0.013,0.004,0.027,0.025,0.52,0.604,0.006,0.015
84,39,12,3,7,43.6751187922883,34,1.2,0,100,0.45,45.3859575206908,40.2650205895167,842384,2842384,8.95799999999997,0.06,0.111,0.074,0.53,0.1,0.082,0.077,0.053,0.177,0.135,0.131
84,40,12,4,4,79.6953582744224,67,1.2,0,100,0.56,66.9098954517974,51.8321792211816,842385,2842385,8.38999999999999,0.322,0.021,0.279,0.437,0.541,0.108,0.115,0.005,0.022,0.179,0.056
84,41,12,5,2,133.044236791808,66,1.2,0,100,0.53,98.4139629943484,93.9811547868136,842386,2842386,8.387,0.054,0.57,0.062,0.875,0.069,0.28,0.277,0.446,0.312,0.067,0.252
84,42,12,6,11,5.27504110111664,23,1.2,0,100,0.47,5.27937682479763,9.55047884629549,842387,2842387,8.923,0.404,0.016,0.296,0.01,0.348,0.197,0.248,0.297,0.121,0.172,0.135
84,43,12,7,10,11.0732266185605,26,1.2,0,100,0.38,10.4024207852801,24.5281495605628,842388,2842388,8.76400000000001,0.784,0.641,0.737,0.097,0.427,0.945,0.95,0.928,0.347,0.85,0.858
