"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
4,"prevalence","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0345,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
4,"prevalence","GLaD_1_weighted","abund_sum_x_mean_abund",0.0614,400,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
4,"prevalence","unifrac_unweighted","abund_sum_x_mean_abund",0.0287,400,87471.7473,NA,NA,"Unweighted UniFrac"
4,"prevalence","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0619,400,87471.7473,NA,NA,"Weighted UniFrac"
4,"prevalence","GUniFrac","abund_sum_x_mean_abund",0.0556,400,87471.7473,NA,NA,"GUniFrac"
4,"prevalence","aitchison","abund_sum_x_mean_abund",0.0664,400,87471.7473,NA,NA,"Aitchison"
4,"prevalence","bray","abund_sum_x_mean_abund",0.0808,400,87471.7473,NA,NA,"Bray-Curtis"
4,"prevalence","euclidean","abund_sum_x_mean_abund",0.0572,400,87471.7473,NA,NA,"Euclidean"
4,"prevalence","jaccard","abund_sum_x_mean_abund",0.0801,400,87471.7473,NA,NA,"Jaccard"
6,"abundance","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0461,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
6,"abundance","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0709,600,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
6,"abundance","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0342,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
6,"abundance","GLaD_1_weighted","abund_sum_x_mean_abund",0.0679,600,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
6,"abundance","unifrac_unweighted","abund_sum_x_mean_abund",0.0523,600,87471.7473,NA,NA,"Unweighted UniFrac"
6,"abundance","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0814,600,87471.7473,NA,NA,"Weighted UniFrac"
6,"abundance","GUniFrac","abund_sum_x_mean_abund",0.0698,600,87471.7473,NA,NA,"GUniFrac"
6,"abundance","aitchison","abund_sum_x_mean_abund",0.0584,600,87471.7473,NA,NA,"Aitchison"
6,"abundance","bray","abund_sum_x_mean_abund",0.0513,600,87471.7473,NA,NA,"Bray-Curtis"
6,"abundance","euclidean","abund_sum_x_mean_abund",0.0456,600,87471.7473,NA,NA,"Euclidean"
6,"abundance","jaccard","abund_sum_x_mean_abund",0.0513,600,87471.7473,NA,NA,"Jaccard"
6,"both","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0421,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
6,"both","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0743,600,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
6,"both","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0564,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
6,"both","GLaD_1_weighted","abund_sum_x_mean_abund",0.0668,600,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
6,"both","unifrac_unweighted","abund_sum_x_mean_abund",0.0433,600,87471.7473,NA,NA,"Unweighted UniFrac"
6,"both","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0605,600,87471.7473,NA,NA,"Weighted UniFrac"
6,"both","GUniFrac","abund_sum_x_mean_abund",0.0596,600,87471.7473,NA,NA,"GUniFrac"
6,"both","aitchison","abund_sum_x_mean_abund",0.0332,600,87471.7473,NA,NA,"Aitchison"
6,"both","bray","abund_sum_x_mean_abund",0.0493,600,87471.7473,NA,NA,"Bray-Curtis"
6,"both","euclidean","abund_sum_x_mean_abund",0.0515,600,87471.7473,NA,NA,"Euclidean"
6,"both","jaccard","abund_sum_x_mean_abund",0.0489,600,87471.7473,NA,NA,"Jaccard"
6,"prevalence","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0653,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
6,"prevalence","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0558,600,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
6,"prevalence","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0482,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
