"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"abundance",0.85,1,308,"bray",0.96,100
2,"abundance",0.85,1,308,"euclidean",0.58,100
2,"abundance",0.85,1,308,"jaccard",0.96,100
2,"abundance",0.85,1,308,"unifrac_unweighted",0.03,100
2,"abundance",0.85,1,308,"unifrac_weighted_phyloseq",1,100
2,"abundance",0.9,1,308,"GLaD_0.5_unweighted",0.03,100
2,"abundance",0.9,1,308,"GLaD_0.5_weighted",1,100
2,"abundance",0.9,1,308,"GLaD_1_unweighted",0.02,100
2,"abundance",0.9,1,308,"GLaD_1_weighted",1,100
2,"abundance",0.9,1,308,"GUniFrac",1,100
2,"abundance",0.9,1,308,"aitchison",0.32,100
2,"abundance",0.9,1,308,"bray",1,100
2,"abundance",0.9,1,308,"euclidean",0.71,100
2,"abundance",0.9,1,308,"jaccard",1,100
2,"abundance",0.9,1,308,"unifrac_unweighted",0,100
2,"abundance",0.9,1,308,"unifrac_weighted_phyloseq",1,100
2,"abundance",0.95,1,308,"GLaD_0.5_unweighted",0.03,100
2,"abundance",0.95,1,308,"GLaD_0.5_weighted",1,100
2,"abundance",0.95,1,308,"GLaD_1_unweighted",0.03,100
2,"abundance",0.95,1,308,"GLaD_1_weighted",1,100
2,"abundance",0.95,1,308,"GUniFrac",1,100
2,"abundance",0.95,1,308,"aitchison",0.4,100
2,"abundance",0.95,1,308,"bray",1,100
2,"abundance",0.95,1,308,"euclidean",0.75,100
2,"abundance",0.95,1,308,"jaccard",1,100
2,"abundance",0.95,1,308,"unifrac_unweighted",0.05,100
2,"abundance",0.95,1,308,"unifrac_weighted_phyloseq",1,100
2,"abundance",1,1,308,"GLaD_0.5_unweighted",0.04,100
2,"abundance",1,1,308,"GLaD_0.5_weighted",1,100
2,"abundance",1,1,308,"GLaD_1_unweighted",0.05,100
2,"abundance",1,1,308,"GLaD_1_weighted",1,100
2,"abundance",1,1,308,"GUniFrac",1,100
2,"abundance",1,1,308,"aitchison",0.39,100
2,"abundance",1,1,308,"bray",1,100
2,"abundance",1,1,308,"euclidean",0.79,100
2,"abundance",1,1,308,"jaccard",1,100
2,"abundance",1,1,308,"unifrac_unweighted",0.05,100
2,"abundance",1,1,308,"unifrac_weighted_phyloseq",1,100
2,"both",0.05,1,308,"GLaD_0.5_unweighted",0.15,100
2,"both",0.05,1,308,"GLaD_0.5_weighted",0.04,100
2,"both",0.05,1,308,"GLaD_1_unweighted",0.09,100
2,"both",0.05,1,308,"GLaD_1_weighted",0.03,100
2,"both",0.05,1,308,"GUniFrac",0.04,100
2,"both",0.05,1,308,"aitchison",0.07,100
2,"both",0.05,1,308,"bray",0.07,100
2,"both",0.05,1,308,"euclidean",0.06,100
2,"both",0.05,1,308,"jaccard",0.07,100
2,"both",0.05,1,308,"unifrac_unweighted",0.08,100
2,"both",0.05,1,308,"unifrac_weighted_phyloseq",0.02,100
2,"both",0.1,1,308,"GLaD_0.5_unweighted",0.11,100
2,"both",0.1,1,308,"GLaD_0.5_weighted",0.08,100
2,"both",0.1,1,308,"GLaD_1_unweighted",0.16,100
2,"both",0.1,1,308,"GLaD_1_weighted",0.05,100
2,"both",0.1,1,308,"GUniFrac",0.05,100
2,"both",0.1,1,308,"aitchison",0.12,100
2,"both",0.1,1,308,"bray",0.09,100
