"k","signal_cluster","cluster_ordered","signal_mode","beta","method","power","n_nonmissing"
2,1,1,"both",0.8,"aitchison",1,100
2,1,1,"both",0.8,"bray",1,100
2,1,1,"both",0.8,"euclidean",0.55,100
2,1,1,"both",0.8,"jaccard",1,100
2,1,1,"both",0.8,"unifrac_unweighted",1,100
2,1,1,"both",0.8,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",0.85,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.85,"GLaD_0.5_weighted",1,100
2,1,1,"both",0.85,"GLaD_1_unweighted",1,100
2,1,1,"both",0.85,"GLaD_1_weighted",1,100
2,1,1,"both",0.85,"GUniFrac",1,100
2,1,1,"both",0.85,"aitchison",1,100
2,1,1,"both",0.85,"bray",1,100
2,1,1,"both",0.85,"euclidean",0.75,100
2,1,1,"both",0.85,"jaccard",1,100
2,1,1,"both",0.85,"unifrac_unweighted",1,100
2,1,1,"both",0.85,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",0.9,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.9,"GLaD_0.5_weighted",1,100
2,1,1,"both",0.9,"GLaD_1_unweighted",1,100
2,1,1,"both",0.9,"GLaD_1_weighted",1,100
2,1,1,"both",0.9,"GUniFrac",1,100
2,1,1,"both",0.9,"aitchison",1,100
2,1,1,"both",0.9,"bray",1,100
2,1,1,"both",0.9,"euclidean",0.81,100
2,1,1,"both",0.9,"jaccard",1,100
2,1,1,"both",0.9,"unifrac_unweighted",1,100
2,1,1,"both",0.9,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",0.95,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.95,"GLaD_0.5_weighted",1,100
2,1,1,"both",0.95,"GLaD_1_unweighted",1,100
2,1,1,"both",0.95,"GLaD_1_weighted",1,100
2,1,1,"both",0.95,"GUniFrac",1,100
2,1,1,"both",0.95,"aitchison",1,100
2,1,1,"both",0.95,"bray",1,100
2,1,1,"both",0.95,"euclidean",0.86,100
2,1,1,"both",0.95,"jaccard",0.99,100
2,1,1,"both",0.95,"unifrac_unweighted",1,100
2,1,1,"both",0.95,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",1,"GLaD_0.5_unweighted",1,100
2,1,1,"both",1,"GLaD_0.5_weighted",1,100
2,1,1,"both",1,"GLaD_1_unweighted",1,100
2,1,1,"both",1,"GLaD_1_weighted",1,100
2,1,1,"both",1,"GUniFrac",1,100
2,1,1,"both",1,"aitchison",1,100
2,1,1,"both",1,"bray",1,100
2,1,1,"both",1,"euclidean",0.9,100
2,1,1,"both",1,"jaccard",1,100
2,1,1,"both",1,"unifrac_unweighted",1,100
2,1,1,"both",1,"unifrac_weighted_phyloseq",1,100
2,1,1,"prevalence",0.05,"GLaD_0.5_unweighted",0.05,100
2,1,1,"prevalence",0.05,"GLaD_0.5_weighted",0.06,100
2,1,1,"prevalence",0.05,"GLaD_1_unweighted",0.06,100
2,1,1,"prevalence",0.05,"GLaD_1_weighted",0.1,100
2,1,1,"prevalence",0.05,"GUniFrac",0.02,100
2,1,1,"prevalence",0.05,"aitchison",0.06,100
2,1,1,"prevalence",0.05,"bray",0.06,100
2,1,1,"prevalence",0.05,"euclidean",0.03,100
2,1,1,"prevalence",0.05,"jaccard",0.06,100
2,1,1,"prevalence",0.05,"unifrac_unweighted",0.05,100
2,1,1,"prevalence",0.05,"unifrac_weighted_phyloseq",0.04,100
2,1,1,"prevalence",0.1,"GLaD_0.5_unweighted",0.08,100
2,1,1,"prevalence",0.1,"GLaD_0.5_weighted",0.07,100
2,1,1,"prevalence",0.1,"GLaD_1_unweighted",0.14,100
2,1,1,"prevalence",0.1,"GLaD_1_weighted",0.06,100
2,1,1,"prevalence",0.1,"GUniFrac",0.06,100
2,1,1,"prevalence",0.1,"aitchison",0.08,100
2,1,1,"prevalence",0.1,"bray",0.07,100
2,1,1,"prevalence",0.1,"euclidean",0.06,100
2,1,1,"prevalence",0.1,"jaccard",0.05,100
2,1,1,"prevalence",0.1,"unifrac_unweighted",0.12,100
2,1,1,"prevalence",0.1,"unifrac_weighted_phyloseq",0.07,100
2,1,1,"prevalence",0.15,"GLaD_0.5_unweighted",0.16,100
2,1,1,"prevalence",0.15,"GLaD_0.5_weighted",0.06,100
